City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
59,Cherskiy,RU,2021-08-14 16:53:57,68.75,161.3,44.02,74,79,9.04,broken clouds
60,Sistranda,NO,2021-08-14 16:53:57,63.7256,8.834,57.9,84,100,16.46,light rain
61,Ribeira Grande,PT,2021-08-14 16:53:57,38.5167,-28.7,77.4,73,40,11.5,scattered clouds
62,Broome,US,2021-08-14 16:53:58,42.2506,-75.833,74.05,64,91,1.99,overcast clouds
63,Sao Filipe,CV,2021-08-14 16:53:58,14.8961,-24.4956,75.13,78,78,1.97,broken clouds
64,Qaanaaq,GL,2021-08-14 16:53:58,77.484,-69.3632,40.5,99,100,7.72,overcast clouds
65,Lata,PT,2021-08-14 16:53:59,40.1629,-8.3327,85.35,28,81,7.74,broken clouds
66,Yulara,AU,2021-08-14 16:51:28,-25.2406,130.9889,60.64,25,10,10.36,clear sky
67,Bathsheba,BB,2021-08-14 16:53:59,13.2167,-59.5167,83.01,83,75,3.44,broken clouds
68,Hithadhoo,MV,2021-08-14 16:54:00,-0.6,73.0833,82.33,73,73,13.53,broken clouds
69,Zaragoza,ES,2021-08-14 16:51:46,41.6561,-0.8773,106.25,21,0,7.0,clear sky
70,Jamestown,US,2021-08-14 16:54:00,42.097,-79.2353,77.18,54,1,1.99,clear sky
71,Concordia,AR,2021-08-14 16:51:04,-31.393,-58.0209,66.27,63,75,5.75,broken clouds
72,Saint George,US,2021-08-14 16:54:01,37.1041,-113.5841,92.79,35,1,4.0,clear sky
73,Kinshasa,CD,2021-08-14 16:53:37,-4.3246,15.3215,90.43,36,61,1.28,broken clouds
74,Okahandja,NA,2021-08-14 16:54:01,-21.9833,16.9167,79.11,18,0,7.38,clear sky
75,Bac Lieu,VN,2021-08-14 16:54:01,9.285,105.7244,80.15,84,100,5.99,overcast clouds
76,Constitucion,CL,2021-08-14 16:54:02,-35.3333,-72.4167,56.19,62,99,3.58,overcast clouds
77,Teguldet,RU,2021-08-14 16:54:02,57.3064,88.1667,52.45,84,6,4.32,clear sky
78,Seoul,KR,2021-08-14 16:53:16,37.5683,126.9778,74.71,71,0,8.05,clear sky
79,Mildura,AU,2021-08-14 16:54:03,-34.2,142.15,42.76,87,40,3.44,scattered clouds
80,Albany,US,2021-08-14 16:54:03,42.6001,-73.9662,84.15,76,80,9.86,broken clouds
81,Sibu,MY,2021-08-14 16:54:03,2.3,111.8167,77.31,94,40,2.3,light rain
82,Abha,SA,2021-08-14 16:54:04,18.2164,42.5053,82.22,16,20,17.27,few clouds
83,Ossora,RU,2021-08-14 16:54:04,59.2353,163.0719,53.74,86,23,3.29,few clouds
84,Leningradskiy,RU,2021-08-14 16:54:05,69.3833,178.4167,40.55,87,100,22.46,overcast clouds
85,Nanortalik,GL,2021-08-14 16:54:05,60.1432,-45.2371,50.16,91,100,8.28,overcast clouds
86,Airai,TL,2021-08-14 16:54:05,-8.9266,125.4092,55.06,73,5,3.38,clear sky
87,Chuy,UY,2021-08-14 16:51:09,-33.6971,-53.4616,57.18,92,100,6.69,overcast clouds
88,Ajdabiya,LY,2021-08-14 16:54:06,30.7554,20.2263,86.16,52,0,23.38,clear sky
89,Hobart,AU,2021-08-14 16:54:06,-42.8794,147.3294,54.05,64,40,3.0,scattered clouds
90,Ahipara,NZ,2021-08-14 16:54:06,-35.1667,173.1667,52.52,77,32,10.38,scattered clouds
